Player,Season,Pos,Age,90s,Gls,Shots,Shot_ontarget,PK,PKatt,xG,npxG,Pass_Cmp,pass_Att,pass_Cmp%,pass_PrgDist,Ast,xAG,xA,Tkl,Tkl_won,Blocks,Int,Touches,Take_ons_Att,Take_ons_Succ,Carries,Carries_PrgDist,PPM,Mins_Played
Mohamed Salah,17-18,FW,25,32.3,32,142,64,1,2,24.1,22.6,772,1055,73.2,3263,10,7.5,6.1,12,6,10,5,1438,126,79,944,2729,1.97,"2,907"
Roberto Firmino,17-18,FW,25,30.7,15,83,36,1,1,10.7,9.9,869,1233,70.5,3204,7,6.5,5.6,65,50,40,18,1576,73,49,936,2271,2,"2,763"
Sadio Mané,17-18,FW,25,24.3,10,70,26,0,0,10.6,10.6,787,1005,78.3,2403,7,5.4,4.9,28,20,20,9,1274,86,55,911,2959,1.97,"2,190"
Georginio Wijnaldum,17-18,MF,26,26.5,1,38,9,0,0,2.8,2.8,1145,1283,89.2,3622,2,1.2,1.6,34,23,20,25,1475,55,42,935,2318,2.03,"2,387"
Jordan Henderson,17-18,MF,27,24.1,1,15,3,0,0,1.2,1.2,1769,2117,83.6,9305,1,1.8,2.4,51,33,33,31,2288,15,8,1209,2428,1.93,"2,171"
Dejan Lovren,17-18,DF,28,23.6,2,14,4,0,0,1.4,1.4,1602,1814,88.3,11482,1,1.3,0.5,26,17,26,38,2073,1,0,1168,3411,2.07,"2,127"
Emre Can,17-18,MF,23,23.2,3,27,8,0,0,1.8,1.8,1338,1571,85.2,5472,4,3,2.4,67,54,32,28,1821,32,24,1084,4252,2.08,"2,091"
Joël Matip,17-18,DF,25,22.2,1,11,2,0,0,1.9,1.9,1470,1660,88.6,11508,0,0.3,0.8,35,24,26,35,1883,4,3,1077,4057,2.16,"1,997"
Andrew Robertson,17-18,DF,23,21.6,1,12,2,0,0,0.5,0.5,1404,1681,83.5,6855,5,4.1,3.4,31,17,22,26,1853,17,9,1063,2984,2.14,"1,940"
Joe Gomez,17-18,DF,20,21.1,0,5,0,0,0,0.3,0.3,1315,1625,80.9,8373,2,1.5,1.4,58,45,19,34,1808,26,23,829,2611,1.96,"1,902"
Loris Karius,17-18,GK,24,19,0,0,0,0,0,0,0,455,630,72.2,9119,0,0,0,0,0,0,1,653,0,0,285,860,2,"1,710"
Simon Mignolet,17-18,GK,29,19,0,0,0,0,0,0,0,447,601,74.4,8759,0,0,0,2,1,0,0,637,1,1,291,978,1.95,"1,710"
Trent Alexander-Arnold,17-18,DF,18,17.5,1,12,5,0,0,1,1,963,1309,73.6,5965,1,2.6,1.7,37,25,20,28,1487,33,20,743,1791,1.89,"1,573"
James Milner,17-18,MF,31,19.7,0,21,5,0,0,1.1,1.1,1335,1636,81.6,7605,3,3.2,3.6,58,45,33,21,1826,16,12,1062,2596,2.06,"1,775"
Ragnar Klavan,17-18,DF,31,16.1,1,1,1,0,0,0.9,0.9,1097,1218,90.1,7588,0,0.2,0.6,14,10,11,15,1359,5,4,810,2854,2,"1,451"
Alex Oxlade-Chamberlain,17-18,"MF,FW",23,16.6,3,38,15,0,0,2.2,2.2,609,796,76.5,3186,7,3.8,3.2,32,21,24,20,989,54,40,563,2194,2,"1,493"
Alberto Moreno,17-18,DF,25,14.1,0,12,2,0,0,0.5,0.5,784,964,81.3,4503,0,0.8,1.4,35,26,19,12,1087,9,6,501,1261,1.69,"1,266"
Virgil van Dijk,17-18,DF,26,14,0,16,6,0,0,1.2,1.2,1023,1140,89.7,7404,0,1.2,0.8,15,8,8,18,1285,1,0,737,2206,1.79,"1,260"
Philippe Coutinho,17-18,"MF,FW",25,12.3,7,54,17,0,0,3.5,3.5,566,758,74.7,3685,6,4.7,4.7,17,14,10,10,902,60,39,629,2464,1.79,"1,109"
Dominic Solanke,17-18,FW,19,6.6,1,22,7,0,0,3.5,3.5,148,201,73.6,386,1,2.6,1.2,7,4,5,2,306,14,9,184,345,2,596
Daniel Sturridge,17-18,FW,27,4.8,2,21,8,0,0,2.3,2.3,103,130,79.2,360,1,0.8,0.5,0,0,1,0,174,11,10,125,319,1.78,431
Danny Ings,17-18,FW,25,3,1,8,5,0,0,1.1,1.1,47,79,59.5,124,0,0.1,0.1,5,3,4,2,118,4,1,69,66,1.63,267
Nathaniel Clyne,17-18,"DF,FW",26,1.9,0,2,1,0,0,0.1,0.1,108,141,76.6,558,0,0.1,0.1,3,1,2,0,159,2,0,67,111,0.67,174
Adam Lallana,17-18,"MF,FW",29,3.4,0,11,0,0,0,1.5,1.5,192,229,83.8,705,0,0.4,0.6,3,1,3,1,261,7,6,180,393,2.33,308
Marko Grujić,17-18,"MF,DF",21,0.2,0,0,0,0,0,0,0,11,14,78.6,75,0,0,0,2,2,0,0,15,0,0,7,33,2,16
Divock Origi,17-18,FW,22,0.1,0,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,4,0,0,3,0,1,10
Ben Woodburn,17-18,FW,17,0.1,0,0,0,0,0,0,0,7,8,87.5,11,0,0,0,0,0,0,0,8,0,0,6,5,3,7
